bioguide_id,first_name,last_name,state_code,state_name,district_number,district_code,district_ordinal,party,chamber,title,title_short,website
G000551,Raúl,Grijalva,AZ,Arizona,3,AZ03,3rd,DEMOCRAT,HOUSE,Representative,Rep.,https://grijalva.house.gov
G000552,Louie,Gohmert,TX,Texas,1,TX01,1st,REPUBLICAN,HOUSE,Representative,Rep.,https://gohmert.house.gov
G000553,Al,Green,TX,Texas,9,TX09,9th,DEMOCRAT,HOUSE,Representative,Rep.,http://algreen.house.gov
G000555,Kirsten E.,Gillibrand,NY,New York,,,,DEMOCRAT,SENATE,Senator,Sen.,http://www.gillibrand.senate.gov
G000558,Brett,Guthrie,KY,Kentucky,2,KY02,2nd,REPUBLICAN,HOUSE,Representative,Rep.,https://guthrie.house.gov
G000559,John,Garamendi,CA,California,3,CA03,3rd,DEMOCRAT,HOUSE,Representative,Rep.,http://garamendi.house.gov
G000560,Tom,Graves,GA,Georgia,14,GA14,14th,REPUBLICAN,HOUSE,Representative,Rep.,http://tomgraves.house.gov
G000562,Cory,Gardner,CO,Colorado,,,,REPUBLICAN,SENATE,Senator,Sen.,http://www.gardner.senate.gov
G000563,Bob,Gibbs,OH,Ohio,7,OH07,7th,REPUBLICAN,HOUSE,Representative,Rep.,https://gibbs.house.gov
G000565,Paul,Gosar,AZ,Arizona,4,AZ04,4th,REPUBLICAN,HOUSE,Representative,Rep.,http://gosar.house.gov
G000566,Trey,Gowdy,SC,South Carolina,4,SC04,4th,REPUBLICAN,HOUSE,Representative,Rep.,https://gowdy.house.gov
G000568,Morgan,Griffith,VA,Virginia,9,VA09,9th,REPUBLICAN,HOUSE,Representative,Rep.,http://morgangriffith.house.gov
G000571,Tulsi,Gabbard,HI,Hawaii,2,HI02,2nd,DEMOCRAT,HOUSE,Representative,Rep.,https://gabbard.house.gov
G000574,Ruben,Gallego,AZ,Arizona,7,AZ07,7th,DEMOCRAT,HOUSE,Representative,Rep.,https://rubengallego.house.gov
G000576,Glenn,Grothman,WI,Wisconsin,6,WI06,6th,REPUBLICAN,HOUSE,Representative,Rep.,http://grothman.house.gov
G000577,Garret,Graves,LA,Louisiana,6,LA06,6th,REPUBLICAN,HOUSE,Representative,Rep.,https://garretgraves.house.gov
G000578,Matt,Gaetz,FL,Florida,1,FL01,1st,REPUBLICAN,HOUSE,Representative,Rep.,https://gaetz.house.gov
G000579,Mike,Gallagher,WI,Wisconsin,8,WI08,8th,REPUBLICAN,HOUSE,Representative,Rep.,https://gallagher.house.gov
